SITE CODE= E4EìåãûêÁë„ìcãÊëÂéËí¨        ,38.1033,142.8600, 24,9.0,40613.6154873, 54.13, 94.51
 LAT.=   35.6890
 LON.=  139.7559
 SAMPLING RATE= 100Hz 
 UNIT  = gal(cm/s/s) 
INITIAL TIME = 2011 03 11 14 47 10
 NS,EW,UD
-0.040,0.081,0.013
-0.033,0.078,0.011
-0.013,0.063,0.007
0.010,0.034,-0.004
0.025,-0.005,-0.020
0.025,-0.042,-0.032
0.014,-0.067,-0.032
-0.002,-0.075,-0.018
-0.014,-0.069,0.000
-0.019,-0.051,0.012
-0.019,-0.023,0.015
-0.018,0.011,0.012
-0.018,0.043,0.009
-0.017,0.063,0.008
-0.013,0.065,0.011
-0.005,0.054,0.018
0.005,0.039,0.023
0.014,0.026,0.024
0.019,0.012,0.018
0.020,-0.010,0.008
0.020,-0.040,-0.002
0.022,-0.069,-0.010
0.023,-0.086,-0.010
0.021,-0.084,-0.004
0.012,-0.073,0.008
-0.003,-0.061,0.018
-0.021,-0.053,0.020
-0.036,-0.045,0.012
-0.039,-0.031,0.001
-0.025,-0.009,-0.005
0.001,0.013,-0.002
0.027,0.030,0.004
0.039,0.034,0.008
0.033,0.028,0.006
0.018,0.018,-0.001
0.007,0.016,-0.008
0.008,0.028,-0.013
0.019,0.047,-0.017
0.032,0.063,-0.021
0.041,0.069,-0.027
0.038,0.067,-0.030
0.022,0.063,-0.025
-0.006,0.057,-0.014
-0.042,0.042,-0.001
-0.075,0.013,0.006
-0.095,-0.018,0.008
-0.098,-0.040,0.008
-0.089,-0.047,0.009
-0.075,-0.046,0.009
-0.061,-0.046,0.006
-0.045,-0.044,0.001
-0.027,-0.036,-0.003
-0.007,-0.020,-0.004
0.010,-0.001,-0.002
0.023,0.012,0.002
0.032,0.020,0.009
0.041,0.021,0.017
0.051,0.016,0.023
0.063,0.006,0.022
0.075,-0.009,0.013
0.083,-0.025,0.002
0.084,-0.033,-0.005
0.072,-0.034,-0.010
0.047,-0.027,-0.015
0.017,-0.018,-0.020
-0.004,-0.008,-0.021
-0.008,0.001,-0.018
0.001,0.010,-0.013
0.010,0.019,-0.016
0.003,0.026,-0.025
-0.023,0.031,-0.031
-0.058,0.038,-0.026
-0.085,0.045,-0.007
-0.096,0.052,0.013
-0.093,0.054,0.026
-0.079,0.047,0.024
-0.058,0.031,0.014
-0.032,0.008,0.007
-0.008,-0.015,0.006
0.011,-0.035,0.008
0.023,-0.046,0.008
0.031,-0.047,0.003
0.037,-0.037,-0.001
0.043,-0.025,-0.001
0.046,-0.017,0.002
0.047,-0.015,0.006
0.046,-0.016,0.011
0.044,-0.015,0.017
0.036,-0.010,0.025
0.022,-0.004,0.031
0.007,0.000,0.031
-0.003,0.000,0.025
-0.005,-0.006,0.016
-0.006,-0.017,0.006
-0.009,-0.025,-0.008
-0.013,-0.021,-0.026
-0.012,0.000,-0.040
-0.001,0.026,-0.039
0.012,0.043,-0.025
0.020,0.045,-0.008
0.017,0.039,-0.001
0.008,0.037,-0.004
0.000,0.045,-0.006
-0.009,0.052,0.000
-0.016,0.045,0.011
-0.021,0.019,0.017
-0.022,-0.017,0.013
-0.016,-0.050,-0.001
-0.009,-0.066,-0.018
-0.008,-0.066,-0.031
-0.017,-0.056,-0.036
-0.028,-0.044,-0.030
-0.031,-0.032,-0.013
-0.023,-0.018,0.009
-0.013,0.002,0.030
-0.010,0.023,0.043
-0.019,0.041,0.048
-0.034,0.049,0.047
-0.042,0.050,0.045
-0.035,0.045,0.043
-0.016,0.039,0.041
0.008,0.031,0.034
0.028,0.020,0.021
0.041,0.005,0.001
0.048,-0.019,-0.021
0.055,-0.048,-0.041
0.063,-0.072,-0.054
0.069,-0.080,-0.060
0.072,-0.067,-0.058
0.068,-0.038,-0.049
0.061,0.000,-0.032
0.053,0.032,-0.011
0.047,0.056,0.004
0.037,0.066,0.009
0.018,0.062,0.005
-0.013,0.051,0.001
-0.052,0.042,0.003
-0.088,0.039,0.011
-0.112,0.036,0.018
-0.119,0.022,0.020
-0.111,-0.005,0.019
-0.093,-0.038,0.019
-0.072,-0.064,0.022
-0.053,-0.078,0.026
-0.038,-0.080,0.027
-0.021,-0.078,0.024
0.003,-0.073,0.020
0.032,-0.067,0.014
0.061,-0.057,0.005
0.081,-0.042,-0.006
0.088,-0.019,-0.016
0.085,0.008,-0.018
0.076,0.037,-0.010
0.062,0.063,0.000
0.044,0.083,0.004
0.023,0.094,0.000
0.002,0.095,-0.007
-0.015,0.083,-0.011
-0.030,0.060,-0.011
-0.039,0.037,-0.007
-0.041,0.021,0.000
-0.036,0.013,0.010
-0.031,0.006,0.019
-0.028,-0.008,0.024
-0.028,-0.027,0.021
-0.024,-0.048,0.015
-0.012,-0.065,0.010
0.001,-0.080,0.005
0.011,-0.087,0.000
0.012,-0.081,-0.008
0.008,-0.058,-0.014
0.005,-0.023,-0.014
0.003,0.011,-0.009
0.002,0.042,-0.001
0.003,0.072,0.005
0.007,0.096,0.013
0.010,0.104,0.020
0.008,0.082,0.022
0.002,0.039,0.016
-0.004,-0.001,0.006
-0.004,-0.021,-0.002
-0.002,-0.024,-0.010
-0.006,-0.031,-0.017
-0.020,-0.051,-0.024
-0.035,-0.074,-0.024
-0.041,-0.079,-0.014
-0.033,-0.059,0.000
-0.017,-0.028,0.008
